Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,054021,2021,04,11,0.0,1,N
IDCJAC0009,054021,2021,04,12,0.0,1,N
IDCJAC0009,054021,2021,04,13,0.0,1,N
IDCJAC0009,054021,2021,04,14,0.0,1,N
IDCJAC0009,054021,2021,04,15,0.0,1,N
IDCJAC0009,054021,2021,04,16,0.0,1,N
IDCJAC0009,054021,2021,04,17,16.2,1,N
IDCJAC0009,054021,2021,04,18,9.2,1,N
IDCJAC0009,054021,2021,04,19,0.2,1,N
IDCJAC0009,054021,2021,04,20,0.0,1,N
IDCJAC0009,054021,2021,04,21,0.0,1,N
IDCJAC0009,054021,2021,04,22,0.0,1,N
IDCJAC0009,054021,2021,04,23,0.0,1,N
IDCJAC0009,054021,2021,04,24,0.0,1,N
IDCJAC0009,054021,2021,04,25,0.0,1,N
IDCJAC0009,054021,2021,04,26,0.0,1,N
IDCJAC0009,054021,2021,04,27,0.0,1,N
IDCJAC0009,054021,2021,04,28,0.0,1,N
IDCJAC0009,054021,2021,04,29,0.0,1,N
IDCJAC0009,054021,2021,04,30,0.0,1,N
IDCJAC0009,054021,2021,05,01,0.0,1,N
IDCJAC0009,054021,2021,05,02,0.0,1,N
IDCJAC0009,054021,2021,05,03,0.0,1,N
IDCJAC0009,054021,2021,05,04,0.0,1,N
IDCJAC0009,054021,2021,05,05,10.6,1,N
IDCJAC0009,054021,2021,05,06,1.6,1,N
IDCJAC0009,054021,2021,05,07,1.0,1,N
IDCJAC0009,054021,2021,05,08,0.0,1,N
IDCJAC0009,054021,2021,05,09,13.2,1,N
IDCJAC0009,054021,2021,05,10,1.6,1,N
IDCJAC0009,054021,2021,05,11,1.8,1,N
IDCJAC0009,054021,2021,05,12,0.0,1,N
IDCJAC0009,054021,2021,05,13,0.2,1,N
IDCJAC0009,054021,2021,05,14,0.0,1,N
IDCJAC0009,054021,2021,05,15,0.0,1,N
IDCJAC0009,054021,2021,05,16,0.0,1,N
IDCJAC0009,054021,2021,05,17,0.0,1,N
IDCJAC0009,054021,2021,05,18,0.0,1,N
IDCJAC0009,054021,2021,05,19,0.0,1,N
IDCJAC0009,054021,2021,05,20,0.0,1,N
IDCJAC0009,054021,2021,05,21,0.0,1,N
IDCJAC0009,054021,2021,05,22,0.0,1,N
IDCJAC0009,054021,2021,05,23,0.0,1,N
IDCJAC0009,054021,2021,05,24,0.0,1,N
IDCJAC0009,054021,2021,05,25,0.0,1,N
IDCJAC0009,054021,2021,05,26,0.0,1,N
IDCJAC0009,054021,2021,05,27,0.0,1,N
IDCJAC0009,054021,2021,05,28,0.0,1,N
IDCJAC0009,054021,2021,05,29,0.0,1,N
IDCJAC0009,054021,2021,05,30,0.0,1,N
IDCJAC0009,054021,2021,05,31,0.0,1,N
IDCJAC0009,054021,2021,06,01,0.0,1,N
IDCJAC0009,054021,2021,06,02,0.0,1,N
IDCJAC0009,054021,2021,06,03,9.4,1,N
IDCJAC0009,054021,2021,06,04,22.8,1,N
IDCJAC0009,054021,2021,06,05,0.0,1,N
IDCJAC0009,054021,2021,06,06,0.0,1,N
IDCJAC0009,054021,2021,06,07,0.0,1,N
IDCJAC0009,054021,2021,06,08,0.0,1,N
IDCJAC0009,054021,2021,06,09,32.0,1,N
IDCJAC0009,054021,2021,06,10,17.0,1,N
IDCJAC0009,054021,2021,06,11,20.2,1,N
IDCJAC0009,054021,2021,06,12,0.0,1,N
IDCJAC0009,054021,2021,06,13,0.4,1,N
IDCJAC0009,054021,2021,06,14,0.2,1,N
IDCJAC0009,054021,2021,06,15,0.0,1,N
IDCJAC0009,054021,2021,06,16,0.0,1,N
IDCJAC0009,054021,2021,06,17,0.4,1,N
IDCJAC0009,054021,2021,06,18,0.0,1,N
IDCJAC0009,054021,2021,06,19,5.2,1,N
IDCJAC0009,054021,2021,06,20,0.0,1,N
IDCJAC0009,054021,2021,06,21,0.0,1,N
IDCJAC0009,054021,2021,06,22,0.2,1,N
IDCJAC0009,054021,2021,06,23,0.0,1,N
IDCJAC0009,054021,2021,06,24,1.4,1,N
IDCJAC0009,054021,2021,06,25,23.6,1,N
IDCJAC0009,054021,2021,06,26,0.2,1,N
IDCJAC0009,054021,2021,06,27,0.2,1,N
IDCJAC0009,054021,2021,06,28,0.0,1,N
IDCJAC0009,054021,2021,06,29,0.0,1,N
IDCJAC0009,054021,2021,06,30,2.2,1,N
IDCJAC0009,054021,2021,07,01,1.8,1,N
IDCJAC0009,054021,2021,07,02,22.8,1,N
IDCJAC0009,054021,2021,07,03,0.2,1,N
IDCJAC0009,054021,2021,07,04,0.0,1,N
IDCJAC0009,054021,2021,07,05,0.0,1,N
IDCJAC0009,054021,2021,07,06,0.0,1,N
IDCJAC0009,054021,2021,07,07,0.0,1,N
IDCJAC0009,054021,2021,07,08,0.0,1,N
IDCJAC0009,054021,2021,07,09,46.0,1,N
IDCJAC0009,054021,2021,07,10,4.4,1,N
IDCJAC0009,054021,2021,07,11,0.2,1,N
IDCJAC0009,054021,2021,07,12,0.0,1,N
IDCJAC0009,054021,2021,07,13,0.2,1,N
IDCJAC0009,054021,2021,07,14,0.0,1,N
IDCJAC0009,054021,2021,07,15,15.4,1,N
IDCJAC0009,054021,2021,07,16,2.6,1,N
IDCJAC0009,054021,2021,07,17,0.0,1,N
IDCJAC0009,054021,2021,07,18,3.0,1,N
IDCJAC0009,054021,2021,07,19,0.0,1,N
IDCJAC0009,054021,2021,07,20,0.0,1,N
IDCJAC0009,054021,2021,07,21,5.0,1,N
IDCJAC0009,054021,2021,07,22,0.0,1,N
IDCJAC0009,054021,2021,07,23,2.2,1,N
IDCJAC0009,054021,2021,07,24,6.4,1,N
IDCJAC0009,054021,2021,07,25,0.8,1,N
IDCJAC0009,054021,2021,07,26,0.0,1,N
IDCJAC0009,054021,2021,07,27,0.0,1,N
IDCJAC0009,054021,2021,07,28,0.0,1,N
IDCJAC0009,054021,2021,07,29,10.2,1,N
IDCJAC0009,054021,2021,07,30,0.0,1,N
IDCJAC0009,054021,2021,07,31,0.0,1,N
IDCJAC0009,054021,2021,08,01,0.0,1,N
IDCJAC0009,054021,2021,08,02,0.0,1,N
IDCJAC0009,054021,2021,08,03,18.6,1,N
IDCJAC0009,054021,2021,08,04,0.2,1,N
IDCJAC0009,054021,2021,08,05,0.0,1,N
IDCJAC0009,054021,2021,08,06,0.0,1,N
IDCJAC0009,054021,2021,08,07,0.0,1,N
IDCJAC0009,054021,2021,08,08,0.0,1,N
IDCJAC0009,054021,2021,08,09,0.0,1,N
IDCJAC0009,054021,2021,08,10,0.0,1,N
IDCJAC0009,054021,2021,08,11,0.0,1,N
IDCJAC0009,054021,2021,08,12,0.0,1,N
IDCJAC0009,054021,2021,08,13,0.0,1,N
IDCJAC0009,054021,2021,08,14,0.0,1,N
IDCJAC0009,054021,2021,08,15,0.0,1,N
IDCJAC0009,054021,2021,08,16,0.0,1,N
IDCJAC0009,054021,2021,08,17,0.0,1,N
IDCJAC0009,054021,2021,08,18,0.0,1,N
