Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,54021,2022,1,1,0,1,N
IDCJAC0009,54021,2022,1,2,3.2,1,N
IDCJAC0009,54021,2022,1,3,0.2,1,N
IDCJAC0009,54021,2022,1,4,0,1,N
IDCJAC0009,54021,2022,1,5,0,1,N
IDCJAC0009,54021,2022,1,6,0,1,N
IDCJAC0009,54021,2022,1,7,0,1,N
IDCJAC0009,54021,2022,1,8,0,1,N
IDCJAC0009,54021,2022,1,9,10,1,N
IDCJAC0009,54021,2022,1,10,0,1,N
IDCJAC0009,54021,2022,1,11,0,1,N
IDCJAC0009,54021,2022,1,12,0,1,N
IDCJAC0009,54021,2022,1,13,0,1,N
IDCJAC0009,54021,2022,1,14,0,1,N
IDCJAC0009,54021,2022,1,15,0,1,N
IDCJAC0009,54021,2022,1,16,0.2,1,N
IDCJAC0009,54021,2022,1,17,0.2,1,N
IDCJAC0009,54021,2022,1,18,0,1,N
IDCJAC0009,54021,2022,1,19,26.4,1,N
IDCJAC0009,54021,2022,1,20,1.8,1,N
IDCJAC0009,54021,2022,1,21,0.2,1,N
IDCJAC0009,54021,2022,1,22,0,1,N
IDCJAC0009,54021,2022,1,23,0,1,N
IDCJAC0009,54021,2022,1,24,0,1,N
IDCJAC0009,54021,2022,1,25,0,1,N
IDCJAC0009,54021,2022,1,26,23.4,1,N
IDCJAC0009,54021,2022,1,27,5.8,1,N
IDCJAC0009,54021,2022,1,28,1.4,1,N
IDCJAC0009,54021,2022,1,29,0,1,N
IDCJAC0009,54021,2022,1,30,0,1,N
IDCJAC0009,54021,2022,1,31,0,1,N
IDCJAC0009,54021,2022,2,1,1,1,N
IDCJAC0009,54021,2022,2,2,8.8,1,N
IDCJAC0009,54021,2022,2,3,14.8,1,N
IDCJAC0009,54021,2022,2,4,0.2,1,N
IDCJAC0009,54021,2022,2,5,0,1,N
IDCJAC0009,54021,2022,2,6,0,1,N
IDCJAC0009,54021,2022,2,7,0,1,N
IDCJAC0009,54021,2022,2,8,0,1,N
IDCJAC0009,54021,2022,2,9,0,1,N
IDCJAC0009,54021,2022,2,10,0,1,N
IDCJAC0009,54021,2022,2,11,0,1,N
IDCJAC0009,54021,2022,2,12,0,1,N
IDCJAC0009,54021,2022,2,13,0,1,N
IDCJAC0009,54021,2022,2,14,0,1,N
IDCJAC0009,54021,2022,2,15,0,1,N
IDCJAC0009,54021,2022,2,16,0,1,N
IDCJAC0009,54021,2022,2,17,0,1,N
IDCJAC0009,54021,2022,2,18,0,1,N
IDCJAC0009,54021,2022,2,19,0,1,N
IDCJAC0009,54021,2022,2,20,0,1,N
IDCJAC0009,54021,2022,2,21,0,1,N
IDCJAC0009,54021,2022,2,22,8.8,1,N
IDCJAC0009,54021,2022,2,23,9,1,N
IDCJAC0009,54021,2022,2,24,11,1,N
IDCJAC0009,54021,2022,2,25,35.8,1,N
IDCJAC0009,54021,2022,2,26,0.8,1,N
IDCJAC0009,54021,2022,2,27,0.2,1,N
IDCJAC0009,54021,2022,2,28,0.2,1,N
IDCJAC0009,54021,2022,3,1,0,1,N
IDCJAC0009,54021,2022,3,2,0,1,N
IDCJAC0009,54021,2022,3,3,0,1,N
IDCJAC0009,54021,2022,3,4,0,1,N
IDCJAC0009,54021,2022,3,5,0,1,N
IDCJAC0009,54021,2022,3,6,22.2,1,N
IDCJAC0009,54021,2022,3,7,12.8,1,N
IDCJAC0009,54021,2022,3,8,0.2,1,N
IDCJAC0009,54021,2022,3,9,9.6,1,N
IDCJAC0009,54021,2022,3,10,0.2,1,N
IDCJAC0009,54021,2022,3,11,0,1,N
IDCJAC0009,54021,2022,3,12,0,1,N
IDCJAC0009,54021,2022,3,13,0,1,N
IDCJAC0009,54021,2022,3,14,0,1,N
IDCJAC0009,54021,2022,3,15,0,1,N
IDCJAC0009,54021,2022,3,16,0,1,N
IDCJAC0009,54021,2022,3,17,0,1,N
IDCJAC0009,54021,2022,3,18,11,1,N
IDCJAC0009,54021,2022,3,19,3.4,1,N
IDCJAC0009,54021,2022,3,20,0,1,N
IDCJAC0009,54021,2022,3,21,0,1,N
IDCJAC0009,54021,2022,3,22,0,1,N
IDCJAC0009,54021,2022,3,23,0,1,N
IDCJAC0009,54021,2022,3,24,1.6,1,N
IDCJAC0009,54021,2022,3,25,23.8,1,N
IDCJAC0009,54021,2022,3,26,10,1,N
IDCJAC0009,54021,2022,3,27,2.6,1,N
IDCJAC0009,54021,2022,3,28,13.6,1,N
IDCJAC0009,54021,2022,3,29,0.6,1,N
IDCJAC0009,54021,2022,3,30,16.2,1,N
IDCJAC0009,54021,2022,3,31,0,1,N
IDCJAC0009,54021,2022,4,1,0,1,N
IDCJAC0009,54021,2022,4,2,0,1,N
IDCJAC0009,54021,2022,4,3,0,1,N
IDCJAC0009,54021,2022,4,4,8.8,1,N
IDCJAC0009,54021,2022,4,5,5.6,1,N
IDCJAC0009,54021,2022,4,6,0.2,1,N
IDCJAC0009,54021,2022,4,7,3.8,1,N
IDCJAC0009,54021,2022,4,8,1.6,1,N
IDCJAC0009,54021,2022,4,9,10.8,1,N
IDCJAC0009,54021,2022,4,10,5.6,1,N
IDCJAC0009,54021,2022,4,11,0.2,1,N
IDCJAC0009,54021,2022,4,12,0,1,N
